,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,0.03,2022-05-12 05:00:00,0.03,2022-05-12 05:00:00,1376,11,7,2022-04-27 00:00:00
1,0.03,2022-05-12 05:00:00,0.03,2022-05-12 05:00:00,3178,852,55,2022-04-29 00:00:00
2,0.03,2022-05-12 05:00:00,0.03,2022-05-12 05:00:00,5037,1977,272,2022-04-30 00:00:00
