,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,0.13,2022-04-29 00:00:00,0.13,2022-04-29 00:00:00,8865,1307,44,2022-04-29 00:00:00
1,0.13,,0.13,,8693,1220,32,2022-04-30 00:00:00
