,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,0.06,2022-05-01 17:00:00,0.06,2022-05-01 17:00:00,573,1613,155,2022-04-13 00:00:00
1,0.06,2022-05-01 17:00:00,0.06,2022-05-01 17:00:00,1078,1635,133,2022-04-18 00:00:00
2,0.06,2022-05-01 17:00:00,0.06,2022-05-01 17:00:00,1091,1634,111,2022-04-19 00:00:00
3,0.06,2022-05-01 17:00:00,0.06,2022-05-01 17:00:00,1106,1670,179,2022-04-20 00:00:00
4,0.06,2022-05-01 17:00:00,0.06,2022-05-01 17:00:00,1156,1682,174,2022-04-22 00:00:00
5,0.06,2022-05-01 17:00:00,0.06,2022-05-01 17:00:00,1305,1732,169,2022-04-25 00:00:00
6,0.06,2022-05-01 17:00:00,0.06,2022-05-01 17:00:00,1496,1743,195,2022-04-27 00:00:00
7,0.06,2022-05-01 17:00:00,0.06,2022-05-01 17:00:00,1723,1879,210,2022-04-29 00:00:00
8,0.06,2022-05-01 17:00:00,0.06,2022-05-01 17:00:00,1730,1913,220,2022-04-30 00:00:00
