,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,0.055,,0.055,,6116,4802,276,2022-04-27 00:00:00
1,0.055,,0.055,,10500,8458,256,2022-04-29 00:00:00
2,0.055,,0.055,,10900,8774,268,2022-04-30 00:00:00
