,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,0.06,2022-04-22 11:00:00,0.06,2022-04-22 11:00:00,18100,13693,2344,2022-04-02 00:00:00
1,0.06,2022-04-22 11:00:00,0.06,2022-04-22 11:00:00,22300,17352,3052,2022-04-09 00:00:00
2,0.06,2022-04-22 11:00:00,0.06,2022-04-22 11:00:00,25200,21042,4374,2022-04-13 00:00:00
3,0.06,2022-04-22 11:00:00,0.06,2022-04-22 11:00:00,28800,23143,4711,2022-04-18 00:00:00
4,0.06,2022-04-22 11:00:00,0.06,2022-04-22 11:00:00,29800,23606,4796,2022-04-19 00:00:00
5,0.06,2022-04-22 11:00:00,0.06,2022-04-22 11:00:00,36300,24214,5248,2022-04-20 00:00:00
6,0.06,2022-04-22 11:00:00,0.06,2022-04-22 11:00:00,40100,24724,5370,2022-04-22 00:00:00
