,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,0.13,2022-04-17 00:00:00,0.13,2022-04-17 00:00:00,19800,13160,762,2022-04-02 00:00:00
1,0.08,2022-04-18 00:00:00,0.08,2022-04-18 00:00:00,22200,23210,3342,2022-04-09 00:00:00
2,0.08,2022-04-18 00:00:00,0.08,2022-04-18 00:00:00,26300,25736,3460,2022-04-13 00:00:00
3,0.08,2022-04-18 00:00:00,0.08,2022-04-18 00:00:00,28900,30926,4036,2022-04-18 00:00:00
4,0.08,,0.08,,29800,35644,4006,2022-04-19 00:00:00
5,0.08,,0.08,,29600,37636,4057,2022-04-20 00:00:00
