,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,,2022-05-12 00:00:00,,2022-05-12 00:00:00,263,1156,266,2022-04-18 00:00:00
1,,2022-05-12 00:00:00,,2022-05-12 00:00:00,299,1134,277,2022-04-19 00:00:00
2,,2022-05-12 00:00:00,,2022-05-12 00:00:00,325,937,93,2022-04-20 00:00:00
3,,2022-05-12 00:00:00,,2022-05-12 00:00:00,335,910,93,2022-04-22 00:00:00
4,,2022-05-12 00:00:00,,2022-05-12 00:00:00,342,873,109,2022-04-25 00:00:00
5,,2022-05-12 00:00:00,,2022-05-12 00:00:00,351,866,124,2022-04-27 00:00:00
6,,2022-05-12 00:00:00,,2022-05-12 00:00:00,357,852,110,2022-04-29 00:00:00
7,,2022-05-12 00:00:00,,2022-05-12 00:00:00,359,837,96,2022-04-30 00:00:00
